,Reviewer Name,Rating,review name,Date,Verified Purchase,Review Text,Helpful Count
,Diane,5.0 out of 5 stars,5.0 out of 5 stars,"Reviewed in the United States on August 28, 2022",,I easily corrected all the low-pressure readings on my dashboard.,
,Maria,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on March 12, 2021",,I keep it in my car trunk and forget about gas station air.,
,Linda,5.0 out of 5 stars,,,,A high-quality tool that everyone should have in their car kit.,
,Amazon Customer,5.0 out of 5 stars,"5.0 out of 5 stars
  Great air pump!","Reviewed in the United States on September 28, 2025",No,"This small compressor is very impressive. It inflated 2 completely flat 235/45-17"" tires and still had 3/4+ battery capacity. I think it can inflate a few completely flat, larger truck tires on a single charge. Easy to use, with connections at either end bring precise (no air leakage).",4 people found this helpful
,Theodore,5.0 out of 5 stars,,,,"I have been looking for another air inflator to take along with me when I go riding or side by siding, so I looked in to getting this one. The functionality of this air compressor is amazing! The size, speed of inflating tires, and heat level is great. I have no complaints! I love the compact size so you can literally carry it in your backpack, the luggage dept on motorcycles, or in the trunk of your vehicles. The design is very sleek and all the components are very nice as well. Using this in rainy weather has not deterred it either, it is very durable in all types of weather.",
,Amelia,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2021",,Cordless operation means no more hunting for a working gas station pump.,
,Diane,5.0 out of 5 stars,"5.0 out of 5 stars
  Great buy","Reviewed in the United States on March 12, 2024",,"This air compressor is compact, easy to use, and works surprisingly well. It inflated my tires quickly and the display is clear. The built-in light is super handy at night. Battery lasts long too. Great to keep in the car for emergencies. Definitely a smart buy.",
,Jkwell,5.0 out of 5 stars,"5.0 out of 5 stars
  These really do work great","Reviewed in the United States on February 20, 2025",No,"Works exactly as described. I love that I can set the precise PSI and just walk away. It filled one tire from 25 to 35 PSI in about 4 minutes. It's slightly loud, but what air compressor isn't? The USB-C charging is a huge plus for convenience. Easily fits in my side door compartment.",23 people found this helpful
,P. Steitz,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on March 12, 2019",,The included storage bag keeps it organized and protected.,
,Robert M.,5.0 out of 5 stars,"1.0 out of 5 stars
  Cheap plastic broke immediately","Reviewed in the United States on October 22, 2025",No,The plastic housing cracked the second time I used it. The hose connection is flimsy and leaks air. This is clearly a cheap knockoff. I should have read more reviews before buying.,8 people found this helpful
,Theresa N Riley,5.0 out of 5 stars,5.0 out of 5 stars,"Reviewed in the United States on September 11, 2023",,"Excelent product. As described. Works well. loudly, but it was advised.",
,Amanda,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on March 12, 2017",,I was able to adjust the pressure on all four tires instantly.,
,Abbie Parsons,5.0 out of 5 stars,,,,I purchased one to try it. I like to maintain my tires at the proper inflated pressure for safety and gas consumption. This product charges quickly and maintains charge for a long time. I have used it many times to get to the right pressure. I liked it so much that I bought one for each of our cars and have given them to my children for their as gifts. I recommend this a lot.,
,Anna,5.0 out of 5 stars,,,,Works really well. I especially like how it screws onto the valve stem. No more crouching down to fill up a tire. I had 4 run flat tires that each needed 10 psi added. It took the Airmoto about 5 minutes each to get to the desired pressure. (Really like that feature too… just set the desired psi and press go!) The battery was completely drained after the fourth tire but recharged quickly. Highly recommend!,
,Amelia,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2019",,The build quality feels sturdy and reliably durable.,
,Joyce,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2021",,Added to my emergency kit along with a battery charger/booster. Used for first time yesterday. Inflated 2 tires from 31 & 32 lbs respectively to 36. Took about 4 min +/- each. Still had about 30-40% charge remaining. Very functional In situations.,
,Joseph Williams,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on March 12, 2024",,"For me the pump works well in general but after the first few tires I'm having to set the tire pressure higher than the pressure I'm wanting, otherwise the pump shuts off too soon.",
,Abbie Parsons,5.0 out of 5 stars,"5.0 out of 5 stars
  Genius","Reviewed in the United States on August 28, 2025",No,"It's a fantastic replacement for my old, corded car inflator.",3 people found this helpful
,Pamela,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on March 12, 2020",,I was able to inflate a completely flat tire without any issues.,
,Amazon Customer,5.0 out of 5 stars,,,,"Small, doesn't get in the way. Filled up my tire from flat to normal. (33psi) does get hot when you use for too long",
,Angela,5.0 out of 5 stars,,,,es perfecto. cumple 200% .,
,Kenneth,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on May 5, 2023",,I love not having to wait in line for the air at the gas station.,
,Benjamin,5.0 out of 5 stars,Perfect just in time,"Reviewed in the United States on September 28, 2023",,"Este compresor portátil es potente y práctico, infla los neumáticos en minutos gracias a su fuerza de 160 PSI. Compacto y fácil de llevar en el auto, ideal para emergencias y viajes.",
,Sandra,4.0 out of 5 stars,,,,It took me just seconds to set the desired pressure level.,
,Margaret,4.0 out of 5 stars,"4.0 out of 5 stars
  Great buy","Reviewed in the United States on September 11, 2024",,Works great. Battery doesn't last long but long enough to inflate couple car tires.,
,Bailey K.,5.0 out of 5 stars,5.0 out of 5 stars,"Reviewed in the United States on February 20, 2022",,"It’s the easiest, most efficient way to put air in your tires.",
,Heather,4.0 out of 5 stars,"4.0 out of 5 stars
  GET THIS - YOU WON'T BE DISAPPOINTED!!!!","Reviewed in the United States on February 20, 2025",No,I appreciate the thoughtful inclusion of multiple nozzle adapters.,23 people found this helpful
,nmbigjohn,3.0 out of 5 stars,"3.0 out of 5 stars
  It's okay for emergencies","Reviewed in the United States on September 28, 2021",,"Does the job in a pinch but don't expect miracles. It's slow and the battery life isn't great, but it's portable and easy to store.",
,Pamela,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on August 28, 2019",,"This inflator is really good at doing what it needs to do, the charging is pretty fast and the speed of inflating is very good as well. It’s also durable too.",
,ERCW,5.0 out of 5 stars,"5.0 out of 5 stars
  Great!","Reviewed in the United States on September 28, 2025",No,"Pros: - Portable - Easy to Use - Comes with charging cable Cons: - Noisy (though I do not have another brand to compare it to, maybe they are all this noisy) - Battery went from green to yellow very fast (after 2 tires). I haven't tried using it for 2 cars at a time to see if it has enough battery for 8 tires. One car it has enough, and then I charge it up again after. So far it has enough battery for what I need out of it. I am pleased that I do not have to worry about going to a gas station to put in air in my tires now. A lot of stations charge or if they turn it on for free for you it doesn't last long and you keep having to go to them to turn it back on. My 2013 Kia Optima tends to lose air pressure easily when the weather is cold so this has given me a peace of mind knowing I have this in case. Also worked great for my sister's new 2024 Kia Sportage. I think it was worth the money spent.",4 people found this helpful
,Angela T.,5.0 out of 5 stars,"4.0 out of 5 stars
  Recommended with small reservations","Reviewed in the United States on October 15, 2025",Yes,"This is a good quality inflator. Easy to use, compact design, and reliable performance. The only downside is the instructions could be clearer and the cord could be longer. Still recommend it!",5 people found this helpful
,Gary,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on March 12, 2019",,"Life saver! It airs up my tires so fast! The battery life is impressive! I used it 8 times before I had to recharge it so it wasn’t a one and done! It’s super functional as we’ve used it to blow up pool floats, car tires, footballs! It’s an amazing price too! The size is perfect for your glove box without taking up all the room!",
,Linette C.Spoto,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2017",,"Great product, very useful, it's not the fastest, it's quite loud and it gets hot, I have a Ford Raptor, it's good for a 4 to 5 psi adjustment on all 4 tires. It would not inflate a full 35""+ tire. I have another portable dual piston compressor for full emergencies but i use this device to adjust the pressure every week.",
,Judy,5.0 out of 5 stars,5.0 out of 5 stars,"Reviewed in the United States on September 11, 2022",,It's easy to store and ready to go at a moment's notice.,
,Andrew,3.0 out of 5 stars,"3.0 out of 5 stars
  Works but has issues","Reviewed in the United States on September 11, 2025",No,The inflator works but the hose is a bit short and it gets warm quickly. The digital display is nice. It's good enough for occasional use.,5 people found this helpful
,Nathan,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2018",,Delivered promptly and exceeded all my performance expectations.,
,Sarah,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2019",,I can easily inflate my bicycle tires to 100 PSI.,
,Abbie Parsons,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on March 12, 2018",,"I bought this because I was tired of having to take out and setting up my air pump to pump air into my tires. After it came in I'm happy with everything that came with it. Everything in the pictures came in the packaging and feels like quality material. The display is very straight forward and it was very easy to operate.
 

 Overall this work very well for what it is, a portable air pump for a car without the need to use a big air tank or paying so much for gas station pumps that seem to never work very well. The sensors were very accurate and inflate my tire that I had problems with. Although you may want to use a bigger pump for a flat tire. Otherwise, this should be an essential item for everyone.",
,Amazon Customer,5.0 out of 5 stars,,,,Used it on my bicycle and I love it. Way better than a hand pump or having to bring out the air compressor. Have not tried it on the car yet have not needed it for that yet,
,Diane,5.0 out of 5 stars,,,,"This small compressor is very impressive. It inflated 2 completely flat 235/45-17"" tires and still had 3/4+ battery capacity. I think it can inflate a few completely flat, larger truck tires on a single charge. Easy to use, with connections at either end bring precise (no air leakage).",
,Dawn,4.0 out of 5 stars,,,,"Terrific, reliable, powerful. Ive tried a few over last several months for RV, lawn tractor, truck, bikes and inflatables. All others were returned as not enough power for hp tires or only half a tire or hours to recharge. This goes to the 165 and 95 my tires require no sweat. Avg about 15-30 secs per pound. Recharges from empty to full battery less than an hour. Holds charge weeks in truck tool box no issue.",
,Samuel,1.0 out of 5 stars,"1.0 out of 5 stars
  Does not work","Reviewed in the United States on March 12, 2022",,Could not get this to work at all. The digital display is confusing and the compressor is extremely weak. Total waste.,
,Brian,5.0 out of 5 stars,,,,"This small compressor is very impressive. It inflated 2 completely flat 235/45-17"" tires and still had 3/4+ battery capacity. I think it can inflate a few completely flat, larger truck tires on a single charge. Easy to use, with connections at either end bring precise (no air leakage).",
,Daniel,5.0 out of 5 stars,"5.0 out of 5 stars
  Great buy","Reviewed in the United States on August 28, 2024",,I easily corrected all the low-pressure readings on my dashboard.,
,Christine,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2020",,"It's truly a reliable, fast, and easy-to-use air compressor.",
,Stephen,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2019",,I was tired of hunting for working air pumps at gas stations and this solved all my problems. It’s so convenient to just pull this out of my console. The digital display is clear and the auto shut-off makes it foolproof. I topped off all four tires on my sedan and still had 80% battery left. Zero complaints.,
,Melissa,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2021",,The screw-on connection seals perfectly with zero air leakage.,
,P Burton,5.0 out of 5 stars,"5.0 out of 5 stars
  Don't lose the hose, I keep mine in a plastic bag in the center console","Reviewed in the United States on August 28, 2025",No,It’s excellent for keeping my trailer tires at their necessary PSI.,3 people found this helpful
,Kal-El,5.0 out of 5 stars,"5.0 out of 5 stars
  Easy to use.","Reviewed in the United States on September 11, 2025",No,I finally feel confident managing my own tire health.,5 people found this helpful
,Boolynnloo,5.0 out of 5 stars,Perfect just in time,"Reviewed in the United States on September 28, 2023",,The pressure holds true even after disconnecting the hose.,
,Melissa,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on May 5, 2019",,I love the simple design and the excellent quality feel.,
,Jonathan,5.0 out of 5 stars,"5.0 out of 5 stars
  Great buy","Reviewed in the United States on February 20, 2024",,"Life saver! It airs up my tires so fast! The battery life is impressive! I used it 8 times before I had to recharge it so it wasn’t a one and done! It’s super functional as we’ve used it to blow up pool floats, car tires, footballs! It’s an amazing price too! The size is perfect for your glove box without taking up all the room!",
,Jessica,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2019",,"Great little air pump — compact, lightweight, and easy to use. The digital screen is clear and accurate. It inflates tires fast and stops automatically. Perfect for emergencies. Highly recommended for every car owner.",
,Brett L.,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on May 5, 2021",,"Review PROS: Focus is on the amount of air being moved versus battery capacity. It added 3 PSI to all 4 of my my P235/55R19 tires for my hybrid Tucson in about 6 - 7 minutes total as the airflow is a fast 35 LPM. It has a nice long air hose that is almost 20 inches and it is the screw type Schrader valve which I've been looking for. I have large hands and I am a Sr. Citizen. By the time I find the Schrader valve on the tire it's buried inside the fancy wheel rims that come with the SUV. So I prefer the screw on type as I lose less air than I do with the clip on type. I am not enamored with the clip on type which is using a plastic lock and I really question how long that will work and not break. This is why I bought this model versus the newer model that actually has 45LPM and it comes with a storage case for the same price as I paid for this model. The manufacturer claims 40 minutes continuous battery use which is more than enough to fill ~ 20 tires but that's based on smaller tire dimensions, usually they are quoting 16 or 17-in width tires versus my 19-in. Many of my retired friends feel the same way as it's much easier for us to deal with the screw on Schrader valve than it is the press on lock type hose fitting. If the new model had the screw on type I would have bought that as it would have saved me some money but that's how strongly I feel about having the screw on type air hose. With the reduced amperage on the battery it makes it much lighter and also smaller. I found the case that holds all the fittings in the air hose in a much smaller dimension case that easily fits into my Tucson or RAV 4 glove boxes. It has a bag to hold all the cords and attachments. It has strong air transfer claiming 4X faster air transfer which is the key thing. (Who needs four hours of continuous battery capacity?? At that point I'll pull out my small air compressor and get it all done < half that time)! I attached a photo of the new case versus the old case I procured for a different model that had a 25,000 aMh battery so that was the case that fit for that type of unit The display is bright and pretty intuitive settings on thev AP1001. I have updated my review to five stars for two reasons: I used this on a recent road trip to Oregon and California. I aired up my tires four times and the battery was still charged up enough to NOT be in the red. Also the customer service as mentioned by a few people is very good. I called to register this product for the warranty which is 18 months and they actually upgraded to 2 years which is one of the better warranties out there. CONS: the new model uses the press on type connector versus the screw on air hose. Plus the new model is the same price as the old model with better performance and an includes a storage case with it. It would also be nice to come with the cigarette lighter extension so you had dual power as many of the other competing models do but not that big of a deal to me.",
,Mary,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2021",,It’s the best portable air compressor I've encountered.,
,Kal-El,5.0 out of 5 stars,,,,"I was skeptical because if it’s size how effective it would be, but this is soooo convenient. My kids use it for their bikes, basketballs, etc. I shared with a friend about its compact design. He purchased one later sharing how grateful to have for his Hellcat tire do to pressure decrease. It’s good to have. Fits right in glove compartment.",
,Chell,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on August 28, 2019",,Product came damaged. The charging port was obviously not as constructed but I discovered I could charge anyways so I kept it. I have a bent rim which leaks 6psi every 7-10 days. This inflator gets my tire from 28 to 34 psi in under 2 minutes. My car's tire pressure sensors say exactly what this inflator does so its accurate. Fits in my console. Charges within an hour. I've pumped all four tires 6x each a few psi before the internal battery even suggested needing a recharge. What a great value. Even helped a stranded motorist do her tire on the roadside. The light I havent used but knowing its there is a plus.,
,Germán Rodríguez,5.0 out of 5 stars,"5.0 out of 5 stars
  Read the instructions","Reviewed in the United States on September 28, 2025",No,This has completely simplified my vehicle maintenance routine.,4 people found this helpful
,Carla R.,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2020",,"This pump is amazing. Compact enough to throw in your bag and the battery life is incredible. I ordered this pump on Nov 24, 2024 and used it to top off my tires on my car and three motor scooters (plus my friends’ scooters when they needed it) and the battery finally ran out on Nov 20, 2025. Nearly a year on a single charge!
 Easy to use, with multiple settings for different vehicles/items so you can preprogram what you need and easily switch between without losing the programming. Automatically switches off when you hit your needed pressure.
 No complaints. Worth every penny.",
,HairHacker,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on May 5, 2020",,The ergonomic design makes it easy to hold while in use.,
,Ed Magdalena,3.0 out of 5 stars,"3.0 out of 5 stars
  Decent but not great","Reviewed in the United States on May 5, 2017",,It gets the job done but it's not the fastest. Battery life is acceptable. Good to have in the car for emergencies but I wouldn't rely on it exclusively.,
,Brian,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2017",,"It is an excellent little gadget for small things like balls, bicycle tires even car tires like the Smart car to refill a 5-psi difference but for trucks, not so much. I wanted to pressurize my 35"" tire from 40-psi to 50-psi after recharging the battery a couple of times, but it died at 49-psi. In my opinion you can't refill a truck tire from 0 to even 40-psi with this gadget only if you recharge the battery 4-5 times which takes 2 to 3 hours to fully recharge. Other than that, is a perfect little gadget.",
,Rebecca N.,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on August 28, 2017",,I purchased mine on 5/8/25. I tried to charge it and it didn’t take a charge. I put in my car thinking I’ll deal with it later. I didn’t need it until last week. I charged it for 16 hours and it didn’t take a charge. I tried running it while plugged in and that didn’t work. Annie from customer service contacted me and and encouraged me to try a different charger. I did and it works great. It had plenty of power to air up my van tire. Thank you Annie for your professional and courteous response.,
,PJS,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2021",,I used it to inflate my lawn mower tires without a hitch.,
,Gary,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2021",,I have two of these. - one for each vehicle in the family. Have used them a few times especially when the weather changes and tire pressure seems to fluctuate. Gives me peace of mind knowing I can take care of under-inflated tires anywhere. I highly recommend this.,
,Nancy,5.0 out of 5 stars,"5.0 out of 5 stars
  Great buy","Reviewed in the United States on February 20, 2024",,"I bought this for the occasional tire refill or moments when I didn't want to fire up the air compressor and pull out the air hose. I was a bit weary at first that this could do the job but was super impressed.
 

 I've used it for car tires, lawn mower tires and bike tires. The fact that you can simply set the PSI and let it run is extremely convenient and it has a wide range of pressure to use.
 

 We ended up using this one so much that we purchased a separate one to keep in a vehicle.
 

 I literally just used this today while a family member was over and had one tire low on air. They asked what I was using and will probably purchase one as well when they saw how easy it was to operate.
 

 Very happy with this purchase!",
,Zenita,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2017",,It’s much faster than I anticipated for a battery unit.,
,MGS,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on August 28, 2024",,It handles the needs of multiple vehicles effortlessly.,
,Angela,5.0 out of 5 stars,,,,"Works well, not too loud, and it's convenient to leave alone while it's pumping.
 

 Will have to see long term how it holds up, but I'm happy with it.",
,Christina,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2021",,The inflation noise is present but not disruptive.,
,Wanda S. Brokaw,5.0 out of 5 stars,,,,"Life saver! It airs up my tires so fast! The battery life is impressive! I used it 8 times before I had to recharge it so it wasn’t a one and done! It’s super functional as we’ve used it to blow up pool floats, car tires, footballs! It’s an amazing price too! The size is perfect for your glove box without taking up all the room!",
,MGS,5.0 out of 5 stars,Perfect just in time,"Reviewed in the United States on May 5, 2022",,It’s a huge upgrade from my old manual pump.,
,Patrick,5.0 out of 5 stars,,,,This is exactly the kind of smart tool I was searching for.,
,P. Steitz,5.0 out of 5 stars,,,,"Works great! My pancake compressor died, and this little unit was a great replacement. Especially like setting the intended pressure and letting it work by itself and shut off by itself.",
,Amazon Customer,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on August 28, 2022",,"I was surprised by how small this device actually is ... The only downside I can see to the Airmoto is the battery power. It accomplished exactly what I wanted it to accomplish, which was top off my tires, in about eight minutes in total. It's not fast, it is loud, but it sure as hell beats driving to the nearest air machine, paying $4 for five minutes, and getting a marginally accurate reading with my manual tire gauge. It's super easy to operate and it's nice knowing the pressure is spot on.
 

 I imagine it would require an entire single charge to inflate a single tire from flat.
 

 I have only two nitpicks: One concerns the device and one has nothing to do with the device.
 

 1. I've never run across a device that REQUIRED a USB-A to USB-C cable before. You can use any old wall USB-A wall adapter if needed, but this device will NOT charge with a USB-C to USB-C cable. Weird. Good thing I've got a couple super long A-C cables I can use in place of the super short one that came in the box.
 

 2. The issue that has nothing to with the device ... My wheels are aftermarket and the valve stem is shrouded by the design just enough to make screwing on the shrader adaptor a pain the ass.
 

 Too early to ascertain the Airmoto's longevity, but after one use, I'm impressed.",
,G.G.,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2017",,The ability to charge via USB is super practical and flexible.,
,Patricia,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2022",,"I bought it for safety, and I use it for convenience.",
,Gregory,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on March 12, 2021",,"Finally, an inflator that makes tire maintenance easy. I used to dread checking my tire pressure, but now I do it weekly because this little device is so quick. It’s accurate when compared to my trusted analog gauge, and the ability to recharge anywhere is the ultimate game-changer. I highly recommend spending the money on this one.",
,Germán Rodríguez,4.0 out of 5 stars,"4.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on February 20, 2024",,The built-in power bank feature is a clever emergency addition.,
,Douglas,5.0 out of 5 stars,"5.0 out of 5 stars
  All digital, auto fill","Reviewed in the United States on September 28, 2025",No,"Very happy with this product. Easy to use,small enough to fit in glove box. It inflated 2 medium size tires on my SUV on a single charge. Only took a few minutes. Not sure how it will work on a tire that’s flat but will probably inflate enough so it’s driveable. The only negative I found were guage numbers are hard to read in bright sunlight.",4 people found this helpful
,Sandra,2.0 out of 5 stars,"2.0 out of 5 stars
  Could be better","Reviewed in the United States on September 11, 2024",,It does inflate tires but it's very slow and noisy. The battery indicator isn't accurate either. Somewhat useful but disappointing.,
,TheAviator,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2021",,I feel much safer having this charged and ready in my car.,
,Justin,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on February 20, 2023",,"I was skeptical getting a battery powered inflator after using a plug in one for so long but this thing is great! my old car has a wheel issue where one tire leaks a small bit of air constantly but it is not detectable enough to fix. So I need to carry an inflator with me all the time or waste time at gas stations. With this being battery operated it saves me even more time with just picking it up and start filling without having to mess with a tangled up wire.
 

 It came with other attachments nozzles which I don't have a use for but kinda nice to have just in case dwon the road stuff. Has a nice little pouch and will everything in it, it is much smaller than my previous wired inflator. Hope to get good use out of this for years to come.",
,Sharon,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2018",,"Works great for my 2022 Ram 2500 towing airbags, just takes a min to fill them up when needed for towing heavy trailers.",
,Pint,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on March 12, 2020",,Works well. Topped off the tires on my wife’s Prius quickly. A bit slow on my truck tires.,
,Germán Rodríguez,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2020",,I even used the USB port to charge my phone in a pinch.,
,Nicole,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2017",,"The hose connection gets a little warm, but that's normal for a small pump.",
,Peter,5.0 out of 5 stars,,,,Works well. Easy to use. Saved me when I was in a rush and my tire was almost flat.,
,Diane,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on September 28, 2020",,"I've used this small cordless air compressor for a variety of inflation tasks from topping off the tires on my F250, inflating mountain bike tires, to inflating soccer balls. It has worked well so far and seems to be very accurate. The battery seems to be adequately sized for its intended application. The metal hose fittings do get very hot with extended use but that is typical of small diameter discharge air compressors.",
,Amazon Customer,5.0 out of 5 stars,"5.0 out of 5 stars
  Great and Portable Alternative to Gas Station Air Compressors!","Reviewed in the United States on August 28, 2025",No,I easily inflated all the pool toys with this compact powerhouse.,3 people found this helpful
,Anthony,5.0 out of 5 stars,"5.0 out of 5 stars
  Worth the price","Reviewed in the United States on February 20, 2025",No,I was a bit skeptical about this tire inflator when I first saw ads for it online. It just sounded too good to be true. It wasn't until a coworker bought one and raved about it that I took a chance and bought one for myself. The inflator arrived with a nice carrying pouch that allows me to store everything together in my glove box. The inflator charged up very quickly and conveniently stores the inflation hose in the body of the inflator. I love being able to set my desired pressure level and leave the inflator to add just the right amount of air. It also has a great purging button to reduce the amount of air in a tire if needed. I have used this for my car and bicycle so far and am thrilled with the product! Get off the fence and buy one for yourself right now. You will wonder why you ever waited!,23 people found this helpful
,Deborah,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2020",,"Haven’t had to use it yet. It appears to be a very well thought out product.
 Thank you",
,Joel,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2019",,It’s a very well-thought-out product design.,
,Linda,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2018",,It consistently delivers the exact pressure I set.,
,Helene,5.0 out of 5 stars,"5.0 out of 5 stars
  Peace of mind on the road.","Reviewed in the United States on September 28, 2025",No,"Life saver! It airs up my tires so fast! The battery life is impressive! I used it 8 times before I had to recharge it so it wasn’t a one and done! It’s super functional as we’ve used it to blow up pool floats, car tires, footballs! It’s an amazing price too! The size is perfect for your glove box without taking up all the room!",4 people found this helpful
,Karen,3.0 out of 5 stars,"3.0 out of 5 stars
  It's okay for emergencies","Reviewed in the United States on August 28, 2022",,"Does the job in a pinch but don't expect miracles. It's slow and the battery life isn't great, but it's portable and easy to store.",
